Zip,Total,White,Black,Asian,Biracial,Other,state_name,Male,Female,Age,Home Price,Houses,Household Income
43964,8642,8226,256,21,137,2,Ohio,4312,4330,46.2,94400.0,3811.0,54372.0
28216,51116,13583,32929,1054,1251,2299,North Carolina,23286,27830,35.2,135400.0,19911.0,65668.0
28277,71605,51272,6346,10533,2276,1178,North Carolina,33421,38184,38.8,338500.0,26695.0,137378.0
28278,27286,14515,8672,1709,1740,650,North Carolina,12870,14416,35.6,253100.0,9176.0,111214.0
28303,29414,14358,11486,1185,1721,664,North Carolina,13958,15456,35.1,133400.0,13207.0,59174.0
28314,58110,23358,27381,1844,3557,1970,North Carolina,28123,29987,29.7,128800.0,23124.0,58365.0
28330,444,340,104,0,0,0,North Carolina,195,249,44.3,59800.0,217.0,37305.0
28347,2329,1265,902,0,25,137,North Carolina,1480,849,30.3,69300.0,524.0,38317.0
28351,4698,2606,1271,10,201,610,North Carolina,2175,2523,42.5,72000.0,1873.0,47463.0
28357,2682,1368,566,1,53,694,North Carolina,1408,1274,43.4,94600.0,1065.0,41585.0
28369,2865,1291,964,40,28,542,North Carolina,1405,1460,43.1,63200.0,1063.0,49451.0
28371,7249,3816,1980,35,538,880,North Carolina,3710,3539,35.9,87100.0,2386.0,58909.0
28392,1628,973,655,0,0,0,North Carolina,820,808,45.6,106000.0,590.0,47773.0
28428,6533,6216,7,24,264,22,North Carolina,3127,3406,47.3,328400.0,2956.0,91074.0
28433,5375,1935,3341,0,3,96,North Carolina,2545,2830,41.7,102300.0,2083.0,43802.0
28435,2058,1570,330,99,42,17,North Carolina,1129,929,49.2,89800.0,945.0,45628.0
28450,2596,1776,225,13,47,535,North Carolina,1131,1465,45.1,175700.0,989.0,63859.0
28461,19897,18008,452,37,543,857,North Carolina,9250,10647,57.3,282600.0,8631.0,89859.0
28462,12659,11163,1165,65,76,190,North Carolina,6273,6386,53.4,138700.0,5394.0,58684.0
28537,146,143,3,0,0,0,North Carolina,71,75,37.1,132900.0,57.0,35039.0
28547,25420,19839,2947,574,1575,485,North Carolina,21000,4420,21.2,,2085.0,54878.0
28552,146,146,0,0,0,0,North Carolina,69,77,36.5,,50.0,27696.0
